Version Size Threads Time
Parallel 1000000 96 0.028195
Parallel 1000000 128 0.028858
Parallel 1000000 128 0.029406
Parallel 1000000 128 0.026564
Parallel 1000000 128 0.028530
Parallel 1000000 128 0.028900
Parallel 1000000 128 0.027887
Parallel 1000000 128 0.025058
Parallel 1000000 128 0.023990
Parallel 1000000 128 0.025393
Parallel 1000000 128 0.025954
Parallel 1000000 144 0.025733
Parallel 1000000 144 0.027823
Parallel 1000000 144 0.026099
Parallel 1000000 144 0.025414
Parallel 1000000 144 0.024976
Parallel 1000000 144 0.025452
Parallel 1000000 144 0.026000
Parallel 1000000 144 0.023657
Parallel 1000000 144 0.028061
Parallel 1000000 144 0.025467
Parallel 1000000 192 0.031328
Parallel 1000000 192 0.030542
Parallel 1000000 192 0.028833
Parallel 1000000 192 0.028299
Parallel 1000000 192 0.035404
Parallel 1000000 192 0.029153
Parallel 1000000 192 0.028286
Parallel 1000000 192 0.031520
Parallel 1000000 192 0.027463
Parallel 1000000 192 0.027333
Parallel 10000000 2 0.822262
Parallel 10000000 2 1.092836
Parallel 10000000 2 0.994672
Parallel 10000000 2 0.856679
Parallel 10000000 2 1.043604
Parallel 10000000 2 1.512135
Parallel 10000000 2 0.825085
Parallel 10000000 2 1.586956
Parallel 10000000 2 0.845052
Parallel 10000000 2 0.838337
Parallel 10000000 4 0.680025
Parallel 10000000 4 0.688349
Parallel 10000000 4 0.688423
Parallel 10000000 4 0.913815
Parallel 10000000 4 0.670078
Parallel 10000000 4 0.566990
Parallel 10000000 4 0.664082
Parallel 10000000 4 0.766385
Parallel 10000000 4 0.613713
Parallel 10000000 4 0.719656
Parallel 10000000 8 0.375161
Parallel 10000000 8 0.377087
Parallel 10000000 8 0.332770
Parallel 10000000 8 0.332860
Parallel 10000000 8 0.397857
Parallel 10000000 8 0.387112
Parallel 10000000 8 0.407889
Parallel 10000000 8 0.417104
Parallel 10000000 8 0.345854
Parallel 10000000 8 0.338694
Parallel 10000000 16 0.239224
Parallel 10000000 16 0.259858
Parallel 10000000 16 0.261973
Parallel 10000000 16 0.248916
Parallel 10000000 16 0.247201
Parallel 10000000 16 0.233743
Parallel 10000000 16 0.319584
Parallel 10000000 16 0.273328
Parallel 10000000 16 0.231688
Parallel 10000000 16 0.233949
Parallel 10000000 32 0.183046
Parallel 10000000 32 0.174650
Parallel 10000000 32 0.196533
Parallel 10000000 32 0.243959
Parallel 10000000 32 0.192614
Parallel 10000000 32 0.185579
Parallel 10000000 32 0.184767
Parallel 10000000 32 0.198252
Parallel 10000000 32 0.190258
Parallel 10000000 32 0.201349
Parallel 10000000 48 0.233785
Parallel 10000000 48 0.210909
Parallel 10000000 48 0.265553
Parallel 10000000 48 0.281756
Parallel 10000000 48 0.203600
Parallel 10000000 48 0.202466
Parallel 10000000 48 0.207550
Parallel 10000000 48 0.207617
Parallel 10000000 48 0.199829
Parallel 10000000 48 0.197128
Parallel 10000000 64 0.206746
Parallel 10000000 64 0.222765
Parallel 10000000 64 0.258070
Parallel 10000000 64 0.174117
Parallel 10000000 64 0.180114
Parallel 10000000 64 0.257510
Parallel 10000000 64 0.272132
Parallel 10000000 64 0.220615
Parallel 10000000 64 0.206299
Parallel 10000000 64 0.217124
Parallel 10000000 96 0.274334
Parallel 10000000 96 0.221303
Parallel 10000000 96 0.214427
Parallel 10000000 96 0.227123
Parallel 10000000 96 0.246828
Parallel 10000000 96 0.219056
Parallel 10000000 96 0.206558
Parallel 10000000 96 0.193861
Parallel 10000000 96 0.189711
Parallel 10000000 96 0.207509
Parallel 10000000 128 0.327077
Parallel 10000000 128 0.247127
Parallel 10000000 128 0.228495
Parallel 10000000 128 0.243620
Parallel 10000000 128 0.261735
Parallel 10000000 128 0.299575
Parallel 10000000 128 0.381440
Parallel 10000000 128 0.461737
Parallel 10000000 128 0.229884
Parallel 10000000 128 0.316449
Parallel 10000000 144 0.298027
Parallel 10000000 144 0.285062
Parallel 10000000 144 0.313361
Parallel 10000000 144 0.307758
Parallel 10000000 144 0.294721
Parallel 10000000 144 0.251149
Parallel 10000000 144 0.346356
Parallel 10000000 144 0.348615
Parallel 10000000 144 0.263035
Parallel 10000000 144 0.254615
Parallel 10000000 192 0.327657
Parallel 10000000 192 0.380066
Parallel 10000000 192 0.254768
Parallel 10000000 192 0.291810
Parallel 10000000 192 0.249838
Parallel 10000000 192 0.335965
Parallel 10000000 192 0.329454
Parallel 10000000 192 0.468293
Parallel 10000000 192 0.257692
Parallel 10000000 192 0.287519
Parallel 100000000 2 9.258730
Parallel 100000000 2 10.702520
Parallel 100000000 2 9.116225
Parallel 100000000 2 9.643807
Parallel 100000000 2 9.135499
Parallel 100000000 2 9.224543
Parallel 100000000 2 16.273635
Parallel 100000000 2 10.334869
Parallel 100000000 2 9.208738
Parallel 100000000 2 11.258021
Parallel 100000000 4 6.182421
Parallel 100000000 4 7.888651
Parallel 100000000 4 7.620221
Parallel 100000000 4 8.811486
Parallel 100000000 4 6.836424
Parallel 100000000 4 6.520819
Parallel 100000000 4 12.390780
Parallel 100000000 4 6.730410
Parallel 100000000 4 7.891000
Parallel 100000000 4 5.737416
Parallel 100000000 8 4.831939
Parallel 100000000 8 4.011929
Parallel 100000000 8 3.461654
Parallel 100000000 8 7.308312
Parallel 100000000 8 4.267222
Parallel 100000000 8 4.032509
Parallel 100000000 8 5.825389
Parallel 100000000 8 4.102898
Parallel 100000000 8 4.578078
Parallel 100000000 8 4.304035
Parallel 100000000 16 2.545436
Parallel 100000000 16 2.688337
Parallel 100000000 16 2.586678
Parallel 100000000 16 3.604839
Parallel 100000000 16 2.919156
Parallel 100000000 16 2.693838
Parallel 100000000 16 2.842632
Parallel 100000000 16 2.791724
Parallel 100000000 16 2.699872
Parallel 100000000 16 3.231894
Parallel 100000000 32 2.531645
Parallel 100000000 32 2.781072
Parallel 100000000 32 3.586694
Parallel 100000000 32 2.072427
Parallel 100000000 32 2.565862
Parallel 100000000 32 2.723666
Parallel 100000000 32 2.605667
Parallel 100000000 32 2.332653
Parallel 100000000 32 2.590873
Parallel 100000000 32 2.130774
Parallel 100000000 48 2.287167
Parallel 100000000 48 4.531287
Parallel 100000000 48 2.444064
Parallel 100000000 48 2.456170
Parallel 100000000 48 1.996299
